Date,EUR_TL,USD_TL
2010-01-04,2.125200033187866,1.473099946975708
2010-01-05,2.115299940109253,1.4726999998092651
2010-01-06,2.1226000785827637,1.4714000225067139
2010-01-07,2.1075000762939453,1.471500039100647
2010-01-08,2.1005001068115234,1.4579999446868896
2010-01-11,2.1050000190734863,1.4501999616622925
2010-01-12,2.1052000522613525,1.4535000324249268
2010-01-13,2.1094000339508057,1.4515999555587769
2010-01-14,2.111599922180176,1.4549000263214111
2010-01-15,2.095900058746338,1.4559999704360962
2010-01-18,2.089600086212158,1.4503999948501587
2010-01-19,2.0794999599456787,1.4555000066757202
2010-01-20,2.0797998905181885,1.4723999500274658
2010-01-21,2.095400094985962,1.4859000444412231
2010-01-22,2.104300022125244,1.4884999990463257
2010-01-25,2.102799892425537,1.4860999584197998
2010-01-26,2.098900079727173,1.4902000427246094
2010-01-27,2.10260009765625,1.4986000061035156
2010-01-28,2.091099977493286,1.496899962425232
2010-01-29,2.074700117111206,1.4961999654769897
2010-02-01,2.0645999908447266,1.482300043106079
2010-02-02,2.077399969100952,1.4866000413894653
2010-02-03,2.0754001140594482,1.4918999671936035
2010-02-04,2.0889999866485596,1.520900011062622
2010-02-05,2.09060001373291,1.5276999473571777
2010-02-08,2.076900005340576,1.5221999883651733
2010-02-09,2.076900005340576,1.5069999694824219
2010-02-10,2.085599899291992,1.5152000188827515
2010-02-11,2.0676000118255615,1.5110000371932983
2010-02-12,2.064500093460083,1.51419997215271
2010-02-15,2.061300039291382,1.5156999826431274
2010-02-16,2.071700096130371,1.5053000450134277
2010-02-17,2.0560998916625977,1.5113999843597412
2010-02-18,2.0529000759124756,1.5254000425338745
2010-02-19,2.0576000213623047,1.511199951171875
2010-02-22,2.0810000896453857,1.5289000272750854
2010-02-23,2.0982000827789307,1.5506000518798828
2010-02-24,2.0957999229431152,1.5470000505447388
2010-02-25,2.0940001010894775,1.5463999509811401
2010-02-26,2.1071999073028564,1.5462000370025635
2010-03-01,2.0834999084472656,1.5356999635696411
2010-03-02,2.088599920272827,1.5339000225067139
2010-03-03,2.1061999797821045,1.5369000434875488
2010-03-04,2.1064000129699707,1.5507999658584595
2010-03-05,2.093400001525879,1.5367000102996826
2010-03-08,2.0845000743865967,1.5306999683380127
2010-03-09,2.086400032043457,1.5327999591827393
2010-03-10,2.091200113296509,1.5318000316619873
2010-03-11,2.095900058746338,1.531000018119812
2010-03-12,2.102400064468384,1.5269999504089355
2010-03-15,2.088099956512451,1.5262999534606934
2010-03-16,2.093400001525879,1.5202000141143799
2010-03-17,2.077399969100952,1.5110000371932983
2010-03-18,2.078000068664551,1.5257999897003174
2010-03-19,2.0776000022888184,1.5343999862670898
2010-03-22,2.087100028991699,1.5365999937057495
2010-03-23,2.0708000659942627,1.5369999408721924
2010-03-24,2.0627999305725098,1.5501999855041504
2010-03-25,2.0511999130249023,1.5428999662399292
2010-03-26,2.0608999729156494,1.5348999500274658
2010-03-29,2.061199903488159,1.5270999670028687
2010-03-30,2.05430006980896,1.5281000137329102
2010-03-31,2.0494000911712646,1.5155999660491943
2010-04-01,2.058500051498413,1.5145000219345093
2010-04-02,2.0439999103546143,1.513100028038025
2010-04-05,2.033099889755249,1.506100058555603
2010-04-06,2.014699935913086,1.503499984741211
2010-04-07,1.9996999502182007,1.4980000257492065
2010-04-08,1.9996000528335571,1.4943000078201294
2010-04-09,2.0023999214172363,1.4874999523162842
2010-04-12,2.021699905395508,1.486299991607666
2010-04-13,2.0213000774383545,1.4851000308990479
2010-04-14,2.0141000747680664,1.4742000102996826
2010-04-15,1.996500015258789,1.4718999862670898
2010-04-16,2.0013999938964844,1.4810999631881714
2010-04-19,2.0104000568389893,1.4901000261306763
2010-04-20,1.9966000318527222,1.48580002784729
2010-04-21,1.9838000535964966,1.4809999465942383
2010-04-22,1.9739999771118164,1.4864000082015991
2010-04-23,1.983199954032898,1.4807000160217285
2010-04-26,1.9738999605178833,1.4722000360488892
2010-04-27,1.9808000326156616,1.5027999877929688
2010-04-28,1.9775999784469604,1.4957000017166138
2010-04-29,1.9667999744415283,1.4811999797821045
2010-04-30,1.9726999998092651,1.4880000352859497
2010-05-03,1.9670000076293945,1.489799976348877
2010-05-04,1.9732999801635742,1.5202000141143799
2010-05-05,1.9668999910354614,1.534999966621399
2010-05-06,2.003200054168701,1.5894999504089355
2010-05-07,1.9895000457763672,1.5614999532699585
2010-05-10,1.948699951171875,1.524999976158142
2010-05-11,1.937999963760376,1.532099962234497
2010-05-12,1.926200032234192,1.5227999687194824
2010-05-13,1.9081000089645386,1.5214999914169312
2010-05-14,1.9083000421524048,1.5425000190734863
2010-05-17,1.9106999635696411,1.541700005531311
2010-05-18,1.9004000425338745,1.5612000226974487
2010-05-19,1.9523999691009521,1.5743000507354736
2010-05-20,1.993299961090088,1.5960999727249146
2010-05-21,1.9815000295639038,1.5755000114440918
2010-05-24,1.9467999935150146,1.5751999616622925
2010-05-25,1.9521000385284424,1.5786999464035034
2010-05-26,1.9306000471115112,1.5855000019073486
2010-05-27,1.9215999841690063,1.5571999549865723
2010-05-28,1.9218000173568726,1.5652999877929688
2010-05-31,1.9311000108718872,1.5717999935150146
2010-06-01,1.9349000453948975,1.5817999839782715
2010-06-02,1.9306000471115112,1.5772000551223755
2010-06-03,1.9282000064849854,1.5844000577926636
2010-06-04,1.9235999584197998,1.6059000492095947
2010-06-07,1.919800043106079,1.6115000247955322
2010-06-08,1.9160000085830688,1.5993000268936157
2010-06-09,1.9194999933242798,1.6008000373840332
