Price,Close,High,Low,Open,Volume
Ticker,GARAN.IS,GARAN.IS,GARAN.IS,GARAN.IS,GARAN.IS
Date,,,,,
2010-01-01,4.335680961608887,4.335680961608887,4.335680961608887,4.335680961608887,0
2010-01-04,4.301541805267334,4.4039592037352,4.267402455393398,4.335680829564299,21890710
2010-01-05,4.403958797454834,4.472237490903759,4.3698197763073106,4.3698197763073106,25006706
2010-01-06,4.403958797454834,4.472237490903759,4.335680429582848,4.3698197763073106,21375543
2010-01-07,4.472238063812256,4.506377089333101,4.369820336095757,4.403959361616603,15757007
2010-01-08,4.506376266479492,4.677072339645965,4.506376266479492,4.540515611343555,39052089
2010-01-11,4.403958797454834,4.574654879923268,4.3698197763073106,4.540515858775745,37035570
2010-01-12,4.403958797454834,4.438098144179296,4.335680429582848,4.3698197763073106,17111805
2010-01-13,4.403958797454834,4.438098144179296,4.301541408435325,4.335680429582848,28519413
2010-01-14,4.403958797454834,4.472237490903759,4.3698197763073106,4.438098144179296,25593613
2010-01-15,4.301541805267334,4.369820179438234,4.233263105519463,4.369820179438234,29759096
2010-01-18,4.335680961608887,4.369820312522546,4.267402585358545,4.267402585358545,12467988
2010-01-19,4.301541805267334,4.369820179438234,4.233263105519463,4.335680829564299,20394586
2010-01-20,4.403958797454834,4.438098144179296,4.335680429582848,4.3698197763073106,16739160
2010-01-21,4.4380974769592285,4.5063758345663,4.369819119352157,4.4039581353672475,30823557
2010-01-22,4.301541805267334,4.4039592037352,4.267402455393398,4.4039592037352,18392961
2010-01-25,4.3698201179504395,4.403959141767034,4.301541744740285,4.301541744740285,17862771
2010-01-26,4.335680961608887,4.369820312522546,4.233263234444886,4.335680961608887,29272884
2010-01-27,4.3698201179504395,4.403959141767034,4.267402395346725,4.3356807685568794,30821782
2010-01-28,4.403958797454834,4.438098144179296,4.335680429582848,4.335680429582848,16796725
2010-01-29,4.335680961608887,4.472238039686547,4.267402585358545,4.369820312522546,37464459
2010-02-01,4.3698201179504395,4.438098491160594,4.301541744740285,4.3356807685568794,47895742
2010-02-02,4.403958797454834,4.472237490903759,4.3698197763073106,4.438098144179296,19318053
2010-02-03,4.4380974769592285,4.540515176158281,4.4039581353672475,4.4380974769592285,27825006
2010-02-04,4.403958797454834,4.472237490903759,4.3698197763073106,4.403958797454834,25298113
2010-02-05,4.199122905731201,4.3015406011055,4.130844550673962,4.267401260788441,63415568
2010-02-08,4.06256628036499,4.233262348037081,4.028427262176718,4.164983986083627,54235224
2010-02-09,4.096706390380859,4.130845740531489,4.028428015656573,4.096706390380859,27613366
2010-02-10,4.028427600860596,4.130845315189845,3.9942882542251996,4.096705968554448,41713505
2010-02-11,4.06256628036499,4.0967056241301725,3.994287918411536,4.06256628036499,20793712
2010-02-12,4.028427600860596,4.164984336248302,3.9942882542251996,4.130845315189845,39589559
2010-02-15,4.130845546722412,4.164984569694351,4.028427826652683,4.028427826652683,16672205
2010-02-16,4.096706390380859,4.164984765105146,4.06256704023023,4.130845740531489,13546654
2010-02-17,4.301541805267334,4.301541805267334,4.130845707051598,4.1649847313485635,33379420
2010-02-18,4.199122905731201,4.3015406011055,4.199122905731201,4.3015406011055,8978856
2010-02-19,4.403958797454834,4.403958797454834,4.164984347114413,4.164984347114413,35299929
2010-02-22,4.301541805267334,4.506376927780035,4.267402455393398,4.301541805267334,17455872
2010-02-23,4.199122905731201,4.369818956162739,4.1649835654141425,4.199122905731201,25226094
2010-02-24,3.994288682937622,4.130845758559123,3.9260103079153583,3.9942886829376216,73393048
2010-02-25,3.8235926628112793,4.062567143191301,3.7553142863565565,3.8235926628112797,99002832
2010-02-26,3.9260106086730957,3.9601499615880087,3.7894538481674394,3.9260106086730953,46677308
2010-03-01,4.028427600860596,4.062566621919053,3.9260098865313466,4.028427600860596,41460048
2010-03-02,4.028427600860596,4.096705968554448,3.9942882542251996,4.028427600860596,30238306
2010-03-03,4.06256628036499,4.0967056241301725,3.994287918411536,4.06256628036499,31621536
2010-03-04,4.130845546722412,4.164984569694351,4.028427826652683,4.130845546722412,32505796
2010-03-05,4.301541805267334,4.369820179438234,4.1649847313485635,4.301541805267334,36693080
2010-03-08,4.403958797454834,4.438098144179296,4.335680429582848,4.403958797454834,21035528
2010-03-09,4.335680961608887,4.438098688772888,4.267402585358545,4.335680961608887,21390556
2010-03-10,4.301541805267334,4.4039592037352,4.267402455393398,4.301541805267334,32593938
2010-03-11,4.199122905731201,4.33567961584568,4.199122905731201,4.199122905731201,17016884
2010-03-12,4.23326301574707,4.335680737619992,4.199123992174071,4.23326301574707,16244256
2010-03-15,4.164984226226807,4.267401937850607,4.164984226226807,4.164984226226807,11489765
2010-03-16,4.301541805267334,4.335680829564299,4.199124081222498,4.301541805267334,16332220
