Price,Close,High,Low,Open,Volume
Ticker,KCHOL.IS,KCHOL.IS,KCHOL.IS,KCHOL.IS,KCHOL.IS
Date,,,,,
2010-01-01,2.8025786876678467,2.8025786876678467,2.8025786876678467,2.8025786876678467,0
2010-01-04,2.815260171890259,2.827941921561378,2.76453444306331,2.7898976249411667,5594718
2010-01-05,3.0054800510406494,3.0435240259674603,2.8659849472017647,2.8786666954631643,11165434
2010-01-06,3.0181617736816406,3.0308428882405587,2.9927992270994275,3.0054803416583455,3897700
2010-01-07,3.0054800510406494,3.018161481837702,2.980117506910891,3.0054800510406494,3662297
2010-01-08,3.0054800510406494,3.030842595170408,2.992798937707944,3.0054800510406494,5993209
2010-01-11,2.91671085357666,2.9674359450220122,2.9040294219831386,2.9674359450220122,3878719
2010-01-12,2.827941417694092,2.8659847551428013,2.8025782403353086,2.8659847551428013,5980808
2010-01-13,2.865985155105591,2.8913483360039343,2.8152600631663827,2.8152600631663827,10826408
2010-01-14,3.0181617736816406,3.043524320263854,2.916710952424033,2.9420734990062463,12937972
2010-01-15,3.0054800510406494,3.030842595170408,2.992798937707944,3.018161481837702,2094549
2010-01-18,2.9927992820739746,3.005480396865831,2.9674361000971117,2.9927992820739746,2646076
2010-01-19,2.9547548294067383,3.018161345601207,2.942073081717779,3.018161345601207,4014481
2010-01-20,3.0435240268707275,3.0562057751358904,2.9547549636580546,2.967435759530177,6841730
2010-01-21,3.10693097114563,3.1196124023861844,3.043524132407216,3.043524132407216,4993023
2010-01-22,2.9927992820739746,3.0308429439139273,2.9927992820739746,2.9927992820739746,4214163
2010-01-25,3.0054800510406494,3.030842595170408,2.992798937707944,3.0054800510406494,2031291
2010-01-26,3.10693097114563,3.1196124023861844,3.005480156149911,3.0181615873904653,8755441
2010-01-27,3.208381414413452,3.2464257037272466,3.106930611171976,3.106930611171976,9915475
2010-01-28,3.2971513271331787,3.3288552242108382,3.202041223222065,3.2337444853709787,6005525
2010-01-29,3.2971513271331787,3.3922620659730383,3.202041223222065,3.2971513271331787,7509846
2010-02-01,3.2020411491394043,3.2654476719702537,3.13863430884419,3.233744410554829,4310588
2010-02-02,3.2337443828582764,3.3288551186830375,3.2020411217143856,3.2971512226104207,2441677
2010-02-03,3.2020411491394043,3.2654476719702537,3.170337570259614,3.2654476719702537,2932571
2010-02-04,3.10693097114563,3.1703374924196863,3.1069309711456303,3.1703374924196863,7908057
2010-02-05,2.9927992820739746,3.0181618291220706,2.9040295737446793,3.0181618291220706,11998329
2010-02-08,2.878666877746582,2.980117695618394,2.8659851286821465,2.967435946553959,5476228
2010-02-09,2.942073106765747,2.954754854562675,2.8786665900314534,2.9293923113618248,4490260
2010-02-10,2.9547548294067383,3.018161345601207,2.942073081717779,2.9674356247027,4868752
2010-02-11,2.91671085357666,2.9674359450220122,2.9040294219831386,2.929392602634548,3646580
2010-02-12,2.942073106765747,2.9801173977635256,2.9167105635648967,2.954754854562675,2980198
2010-02-15,2.91671085357666,2.91671085357666,2.891348307853984,2.91671085357666,2219054
2010-02-16,2.91671085357666,2.9547551483572243,2.9040294219831386,2.942073399299336,2399254
2010-02-17,3.0054800510406494,3.030842595170408,2.9420732145197332,2.954754962781133,11718466
2010-02-18,3.0054800510406494,3.0688865700972188,2.980117506910891,3.0054800510406494,6694593
2010-02-19,3.081568717956543,3.081568717956543,2.9927993257948273,2.9927993257948273,7527699
2010-02-22,3.10693097114563,3.1830192411245983,3.081568426128879,3.144974947402935,6753070
2010-02-23,3.0054800510406494,3.0688865700972188,2.980117506910891,3.0562057742288595,5772047
2010-02-24,2.942073106765747,2.9927988280961184,2.8913480203640463,2.942073106765747,5349798
2010-02-25,2.7772159576416016,2.9547550411139967,2.764534209043999,2.916710747714255,9754277
2010-02-26,2.8025786876678467,2.8786669620316943,2.7645343917537346,2.8659852125959473,13618700
2010-03-01,3.0054800510406494,3.030842595170408,2.9293924186513745,2.954754962781133,10316037
2010-03-02,3.0054800510406494,3.030842595170408,2.980117506910891,3.018161481837702,4008800
2010-03-03,2.9674365520477295,3.0054808546107243,2.9167114502259324,2.980118303699826,5323419
2010-03-04,2.942073106765747,2.9674356499665975,2.9293923113618248,2.942073106765747,3179011
2010-03-05,3.0308427810668945,3.0308427810668945,2.9420733949715574,2.9420733949715574,4487433
2010-03-08,3.081568717956543,3.1196126978166516,3.0562061705379335,3.081568717956543,7449821
2010-03-09,3.094249725341797,3.1449748132109243,3.081568294642343,3.1322933825114703,4190904
2010-03-10,3.0688862800598145,3.106930568855444,3.043523738327045,3.106930568855444,4012312
2010-03-11,3.0308427810668945,3.06888675832713,3.0181616669563938,3.056205961680995,2868688
2010-03-12,2.9801173210144043,3.0435238361157437,2.9674355735440785,3.0308424061097448,3594399
2010-03-15,2.9547548294067383,2.9674356247027,2.942073081717779,2.9674356247027,2041461
2010-03-16,3.0181617736816406,3.0308428882405587,2.9547552484939192,2.9674360455884594,3112281
2010-03-17,3.094249725341797,3.1069308385769063,3.056205750707779,3.068886546478544,3207932
2010-03-18,3.081568717956543,3.1069312653751524,3.0562061705379335,3.1069312653751524,4182050
2010-03-19,3.081568717956543,3.081568717956543,3.0435244206320466,3.068886968050656,3343150
2010-03-22,3.081568717956543,3.1322938127937623,3.0435244206320466,3.0435244206320466,4942728
2010-03-23,3.094249725341797,3.1449748132109243,3.094249725341797,3.119612269276361,2191324
2010-03-24,3.14497447013855,3.14497447013855,3.0942493878028134,3.1069304996545926,4698538
2010-03-25,3.14497447013855,3.170337011306418,3.1069304996545926,3.1322930408224607,6096051
2010-03-26,3.2971513271331787,3.3288552242108382,3.1703376436087787,3.1703376436087787,12751202
2010-03-29,3.3288557529449463,3.3288557529449463,3.2337449989983043,3.3288557529449463,5258490
2010-03-30,3.2971513271331787,3.3288552242108382,3.2337444853709787,3.2971513271331787,2826223
2010-03-31,3.360558271408081,3.360558271408081,3.2337442785307218,3.360558271408081,11389929
2010-04-01,3.360558271408081,3.360558271408081,3.297151116237225,3.360558271408081,4023795
2010-04-02,3.360558271408081,3.392261848993509,3.328855011287006,3.360558271408081,1481200
2010-04-05,3.4556689262390137,3.4873721914701923,3.3605588130810746,3.4556689262390137,3867311
2010-04-06,3.4556689262390137,3.4873721914701923,3.392262395776657,3.4556689262390137,3938259
2010-04-07,3.2971513271331787,3.4556685902708653,3.265447747519892,3.2971513271331787,7994035
2010-04-08,3.2971513271331787,3.3288552242108382,3.265447747519892,3.2971513271331787,2348542
2010-04-09,3.360558271408081,3.392261848993509,3.297151116237225,3.360558271408081,3607943
