Date,Open,High,Low,Close,Volume,MA_10,RSI,Target_Close,USD_TL,EUR_TL
2010-01-20,3.4116010665893555,3.4420621135724425,3.3811400196062684,3.4420621135724425,12009697,3.402462791287036,51.72083551225527,3.381140014346716,1.4723999500274658,2.0797998905181885
2010-01-21,3.350680112838745,3.4116010612824192,3.320219065903042,3.381140014346716,9529445,3.3994166860627715,44.76684068314199,3.350680059904189,1.4859000444412231,2.095400094985962
2010-01-22,3.28975796699524,3.38113996093095,3.28975796699524,3.350680059904189,6787340,3.3933245859249483,41.744735223839925,3.320219013449714,1.4884999990463257,2.104300022125244
2010-01-25,3.28975796699524,3.350680059904189,3.28975796699524,3.320219013449714,4721351,3.3872324858352485,38.91545760668338,3.2897582308219646,1.4860999584197998,2.102799892425537
2010-01-26,3.3811402320861816,3.3811402320861816,3.2592971819246235,3.2897582308219646,4501261,3.384186407572473,36.26828764331622,3.350680112838745,1.4902000427246094,2.098900079727173
2010-01-27,3.350680112838745,3.4420621082181224,3.350680112838745,3.350680112838745,10505291,3.390278616447873,44.41257646810316,3.381140014346716,1.4986000061035156,2.10260009765625
2010-01-28,3.350680112838745,3.4116010612824192,3.320219065903042,3.381140014346716,5924428,3.381140392006691,47.99118663453025,3.350680327220217,1.496899962425232,2.091099977493286
2010-01-29,3.320219278335572,3.3811402306770577,3.2897582294509253,3.350680327220217,5442121,3.3689562232159327,44.87969009421992,3.350680118050916,1.4961999654769895,2.074700117111206
2010-02-01,3.4116010665893555,3.4116010665893555,3.3202190710678283,3.350680118050916,5276311,3.3659102118124062,44.87966857558757,3.4116010612824192,1.482300043106079,2.0645999908447266
2010-02-02,3.350680112838745,3.4116010612824192,3.320219065903042,3.4116010612824192,5982432,3.362864106583404,52.08551494073083,3.3811402320861816,1.486600041389465,2.077399969100952
2010-02-03,3.3811402320861816,3.4420623298808635,3.3506803286166464,3.3811402320861816,12328841,3.356771918434778,48.66015324873195,3.3811402320861816,1.4918999671936035,2.075400114059448
2010-02-04,3.3811402320861816,3.4116012809835228,3.3506803286166464,3.3811402320861816,3440880,3.3567719402087244,48.66015324873195,3.289758178553781,1.520900011062622,2.08899998664856
2010-02-05,3.198376178741455,3.289758178553781,3.076533130515758,3.289758178553781,16977716,3.350679752073684,39.59936035370016,3.137454920103819,1.5276999473571775,2.09060001373291
2010-02-08,3.046072006225586,3.1679150514162067,2.954689779604008,3.137454920103819,14225686,3.3324033427390938,29.679898565284205,3.0460720466190008,1.5221999883651731,2.076900005340576
2010-02-09,3.1069939136505127,3.16791509342536,3.0460720466190008,3.0460720466190008,10700049,3.308034724318798,25.54515337227617,3.16791509342536,1.506999969482422,2.076900005340576
2010-02-10,3.1069939136505127,3.16791509342536,3.076533094677534,3.16791509342536,7424310,3.289758222377459,37.95612723210059,3.137454737858077,1.5152000188827517,2.085599899291992
2010-02-11,3.167914867401123,3.1983759132863234,3.106993691972877,3.137454737858077,4770625,3.265389694728595,36.32589989715807,3.16791509342536,1.5110000371932983,2.067600011825561
2010-02-12,3.1069939136505127,3.228836960456872,3.076533094677534,3.16791509342536,9456291,3.2471131713491097,39.14088805003375,3.1374550005206867,1.51419997215271,2.064500093460083
2010-02-15,3.259297132492065,3.289758180927415,3.1374550005206867,3.1374550005206867,10282648,3.225790659596087,37.36209308267728,3.320219013449714,1.5156999826431274,2.061300039291382
2010-02-16,3.28975796699524,3.350680059904189,3.2288367904284607,3.320219013449714,6854578,3.2166524548128166,51.58072076784581,3.350680059904189,1.5053000450134275,2.071700096130371
2010-02-17,3.28975796699524,3.350680059904189,3.28975796699524,3.350680059904189,3937033,3.213606437594617,53.476264633496015,3.289758194015467,1.5113999843597412,2.0560998916625977
2010-02-18,3.228837013244629,3.320219242572004,3.228837013244629,3.289758194015467,13336791,3.2044682337875456,49.3178065144992,3.259296972031636,1.5254000425338743,2.052900075912476
2010-02-19,3.350680112838745,3.350680112838745,3.228836841438118,3.259296972031636,10584861,3.201422113135331,47.33573551823302,3.28975796699524,1.511199951171875,2.0576000213623047
2010-02-22,3.28975796699524,3.411601007385425,3.2592969205407645,3.28975796699524,17514553,3.2166524178244726,49.52053528972166,3.228837013244629,1.5289000272750854,2.0810000896453857
2010-02-23,3.228837013244629,3.35068029112854,3.198376193773651,3.228837013244629,10499165,3.2349289144870363,45.45872048206292,3.046072006225586,1.5506000518798828,2.0982000827789307
2010-02-24,3.046072006225586,3.198376099070801,2.954689779604008,3.046072006225586,18637073,3.2227446057670583,35.93574826518763,2.924229621887207,1.5470000505447388,2.0957999229431152
2010-02-25,2.924229621887207,3.1069936009911685,2.8633075319007806,2.924229621887207,34783114,3.201422094169972,31.237635018864097,2.948598146438598,1.54639995098114,2.094000101089477
2010-02-26,2.948598146438598,3.046071986332071,2.8998606537779867,2.948598146438598,21456397,3.1794903994712955,33.120863336103554,3.08262586593628,1.5462000370025637,2.1071999073028564
2010-03-01,3.08262586593628,3.08262586593628,2.99733548085008,3.08262586593628,16295501,3.1740074860128544,42.45565997141577,3.1374549865722656,1.5356999635696411,2.0834999084472656
2010-03-02,3.1374549865722656,3.198376166829892,3.0217037819234376,3.1374549865722656,25787894,3.1557310833251098,45.78916876598522,3.167914867401123,1.533900022506714,2.088599920272827
2010-03-03,3.167914867401123,3.259296859629031,3.106993691972877,3.167914867401123,20337773,3.1374545640748037,47.60506044272349,3.198376178741455,1.5369000434875488,2.1061999797821045
